Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,65.410004,66.959999,55.709999,58.020000,52.855927,61829300
2022-03-01,57.779999,60.090000,51.020000,56.860001,51.799168,82146400
2022-04-01,57.180000,58.880001,51.889999,52.000000,47.832100,54583800
2022-05-01,52.290001,52.619999,44.169998,50.459999,46.415535,85806400
2022-06-01,51.160000,51.400002,43.330002,44.169998,40.629692,69459400
2022-07-01,44.040001,48.630001,43.080002,44.680000,41.515553,72830400
2022-08-01,44.450001,48.200001,40.689999,41.450001,38.514317,56750300
2022-09-01,41.180000,44.820000,29.320000,29.910000,27.791634,91887500
2022-10-01,30.309999,32.369999,26.920000,28.250000,26.559919,170330400
2022-11-01,28.709999,34.900002,26.459999,32.820000,30.856512,114074700
2022-12-01,33.220001,34.279999,25.049999,27.610001,25.958208,163842900
2023-01-01,28.010000,31.330000,27.510000,30.940001,29.615810,104238400
2023-02-01,30.809999,32.130001,23.709999,24.820000,23.757738,255002200
2023-03-01,25.090000,26.950001,20.030001,22.910000,21.929483,180319700
2023-04-01,22.940001,23.580000,21.129999,23.510000,22.788424,105386600
2023-05-01,23.530001,23.540001,16.959999,17.219999,16.691477,165794700
2023-06-01,17.250000,20.000000,16.770000,19.090000,18.504084,143900200
2023-07-01,19.040001,20.590000,17.850000,19.809999,19.500307,98378700
2023-08-01,19.660000,21.170000,18.309999,19.760000,19.451088,149585400
2023-09-01,20.000000,20.490000,16.360001,17.670000,17.393763,158575000
2023-10-01,17.620001,18.900000,14.430000,14.730000,14.730000,216923600
2023-11-01,14.820000,18.040001,12.850000,16.680000,16.680000,157721600
2023-11-22,16.660000,16.719999,16.290001,16.680000,16.680000,3773827
